key,option,VN,CN,TH
Lock portal,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Khóa Portal,Lock portal,Lock portal
Close store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Đóng cửa hàng,Close store,Close store
Closing this store blocks every portal access. Continue?,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Đóng cửa hàng này sẽ khóa toàn bộ quyền truy cập Portal. Bạn có muốn tiếp tục?,Closing this store blocks every portal access. Continue?,Closing this store blocks every portal access. Continue?
Members,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Thành viên,成員,สมาชิก
Expired,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Hết hạn hợp đồng,合約到期,หมดอายุ
Portal Locked,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Đã khóa Portal,Portal Locked,Portal Locked
H010,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",H010,H010,H010
e.g. 219 Vinh Vien store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",ví dụ: Cửa hàng 219 Vĩnh Viễn,e.g. 219 Vinh Vien store,e.g. 219 Vinh Vien store
Identification,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Thông tin định danh,Identification,Identification
Contract,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Hợp đồng,Contract,Contract
Leave empty to default to Area Manager,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Để trống sẽ mặc định theo Quản lý khu vực,Leave empty to default to Area Manager,Leave empty to default to Area Manager
Area Manager,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Quản lý khu vực,Area Manager,Area Manager
Assigned Supervisor,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Phân công giám sát,Assigned Supervisor,Assigned Supervisor
Latest Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ngày khảo sát gần nhất,最新評核日期,วันที่ประเมินล่าสุด
Latest Inspection Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Điểm giám sát gần nhất,Latest Inspection Score,Latest Inspection Score
Latest Inspection Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Xếp loại giám sát gần nhất,Latest Inspection Grade,Latest Inspection Grade
Latest Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Đợt giám sát gần nhất,Latest Inspection,Latest Inspection
Area & Address,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Khu vực & Địa chỉ,Area & Address,Area & Address
Contact,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Thông tin liên hệ,Contact,Contact
Control flags,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Trạng thái kiểm soát,Control flags,Control flags
"Operating notes: delivery, loading bans, parking bans...","model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form","Ghi chú vận hành: giao hàng, cấm dừng đỗ, cấm tải...","Operating notes: delivery, loading bans, parking bans...","Operating notes: delivery, loading bans, parking bans..."
Operating description,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Mô tả vận hành,Operating description,Operating description
Document Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Tên tài liệu,Document Name,Document Name
Download,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Tải xuống,Download,Download
Created On,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ngày tạo,Created On,Created On
Documents,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Tài liệu đính kèm,Documents,Documents
Report,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Báo cáo,Report,Report
Internal note,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ghi chú nội bộ,Internal note,Internal note
Franchise store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Cửa hàng nhượng quyền,Franchise store,Franchise store
Remaining:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_kanban",Còn lại:,Remaining:,Remaining:
days,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_kanban",ngày,days,days
Members:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_kanban",Thành viên:,Members:,Members:
Assigned Supervisor,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Phân công giám sát,Assigned Supervisor,Assigned Supervisor
Latest Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Ngày khảo sát gần nhất,最新評核日期,วันที่ประเมินล่าสุด
Latest Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Điểm mới nhất,最新評核分數,คะแนนล่าสุด
Latest Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Loại đánh giá mới nhất,最新評核等級,เกรดล่าสุด
Consecutive C/D,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Liên tiếp đạt C/D,Consecutive C/D,Consecutive C/D
Franchise Stores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Danh sách cửa hàng nhượng quyền,Franchise Stores,Franchise Stores
My Assigned Stores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Cửa hàng tôi phụ trách,My Assigned Stores,My Assigned Stores
Active,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Đang hoạt động,正常營運,ใช้งานอยู่
Contract expired,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Hợp đồng đã hết hạn,Contract expired,Contract expired
Portal access blocked,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Đã chặn truy cập Portal,Portal access blocked,Portal access blocked
Expiring soon (within 30 days),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Sắp hết hạn (trong 30 ngày),Expiring soon (within 30 days),Expiring soon (within 30 days)
Needs Supervision (Grade C / D),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Cần giám sát (Hạng C / D),Needs Supervision (Grade C / D),Needs Supervision (Grade C / D)
Latest Grade C,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Xếp loại C gần nhất,Latest Grade C,Latest Grade C
Latest Grade D,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Xếp loại D gần nhất,Latest Grade D,Latest Grade D
Archived,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Đã lưu trữ,Archived,Archived
Area,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Khu vực,Area,Area
Status,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Trạng thái,狀態,สถานะ
Store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_partner_form_franchise",Cửa hàng,門店,ร้านค้า
Is a franchise store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_res_partner_filter_franchise",Là cửa hàng nhượng quyền,Is a franchise store,Is a franchise store
Franchise Members,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_users_form_franchise",Thành viên nhượng quyền,加盟成員管理,สมาชิกแฟรนไชส์
Inspection Category,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_category_form",Danh mục tiêu chí giám sát,Inspection Category,Inspection Category
Inspection Categories,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_category_tree",Danh mục tiêu chí,評核項目分類,หมวดหมู่เกณฑ์
Start Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bắt đầu khảo sát,開始評核,เริ่มการตรวจ
Need Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Cần khắc phục,待改善,ต้องแก้ไข
Mark Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hoàn thành,完成,เสร็จสิ้น
Cancel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hủy bỏ,取消,ยกเลิก
Reset to Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đặt lại dự thảo,重設為草稿,รีเซ็ตเป็นร่าง
"<span class=""o_stat_text text-primary"">Google Maps</span>
                                <span class=""o_stat_value text-success"" style=""font-size: 11px;"">Located</span>","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","<span class=""o_stat_text text-primary"">Google Maps</span>
                                <span class=""o_stat_value text-success"" style=""font-size: 11px;"">Đã định vị</span>","<span class=""o_stat_text text-primary"">Google Maps</span>
                                <span class=""o_stat_value text-success"" style=""font-size: 11px;"">Located</span>","<span class=""o_stat_text text-primary"">Google Maps</span>
                                <span class=""o_stat_value text-success"" style=""font-size: 11px;"">Located</span>"
Inspection Sheets,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Phiếu giám sát,督導表,แบบฟอร์มการติดตาม
"<span class=""o_stat_text text-danger"">PDF Report</span>
                                <span class=""o_stat_value"" style=""font-size: 11px;"">Print / Export PDF</span>","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","<span class=""o_stat_text text-danger"">Báo cáo PDF</span>
                                <span class=""o_stat_value"" style=""font-size: 11px;"">In / Xuất PDF</span>","<span class=""o_stat_text text-danger"">PDF Report</span>
                                <span class=""o_stat_value"" style=""font-size: 11px;"">Print / Export PDF</span>","<span class=""o_stat_text text-danger"">PDF Report</span>
                                <span class=""o_stat_value"" style=""font-size: 11px;"">Print / Export PDF</span>"
Inspection Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tên phiếu giám sát,評核表名稱,ชื่อแบบประเมิน
e.g. PGS-HCM01-0001,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ví dụ: PGS-HCM01-0001,例如：PGS-HCM01-0001,ตัวอย่าง: PGS-HCM01-0001
Store Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Thông tin cửa hàng,門店資訊,ข้อมูลร้านค้า
Timeline & History,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tiến trình & Lịch sử,進度與歷程,ไทม์ไลน์และประวัติ
GPS Location,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Vị trí GPS,GPS位置,ตำแหน่ง GPS
Open Google Maps,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xem Google Maps,在Google地圖查看,เปิดใน Google Maps
Map,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bản đồ,地圖,แผนที่
GPS Check-in & Location,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Check-in GPS & Vị trí,GPS簽到與位置,การเช็คอิน GPS และตำแหน่ง
Employee full name...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Họ và tên nhân viên...,員工姓名...,Employee full name...
"Tenure (e.g. 1 year, 6 months)...","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","Thâm niên (Ví dụ: 1 năm, 6 tháng)...",年資（例如：1年、6個月）...,อายุงาน (เช่น 1 ปี 6 เดือน)...
Tested Employee Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Thông tin nhân viên được kiểm tra,受測員工資訊,ข้อมูลพนักงานที่รับการทดสอบ
Next Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ngày khảo sát kế tiếp,下次督導日期,วันที่ตรวจครั้งถัดไป
Create Next Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tạo lịch giám sát tiếp theo,Create Next Supervision Schedule,Create Next Supervision Schedule
Next Inspection Plan,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Kế hoạch khảo sát kế tiếp,下次督導計畫,แผนการตรวจครั้งถัดไป
Component Scores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Điểm thành phần,分項分數,คะแนนย่อย
Evaluation Result & Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Kết quả đánh giá & Xếp loại,評核結果與等級,ผลการประเมินและเกรด
Checklist Content,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nội dung Checklist,Checklist Content,Checklist Content
Passed (Pass),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đạt (Pass),Passed (Pass),Passed (Pass)
Previous Result,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Kết quả kỳ trước,Previous Result,Previous Result
View Previous Inspection Line,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xem dòng giám sát kỳ trước,View Previous Inspection Line,View Previous Inspection Line
Enter violation note if any...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhập ghi chú vi phạm nếu có...,輸入違規備註（如有）...,กรอกบันทึกการละเมิด...
Evidence Photo,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hình ảnh minh chứng,Evidence Photo,Evidence Photo
Enter store remediation note...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhập ghi chú khắc phục của cửa hàng...,輸入門店改善備註...,กรอกบันทึกการแก้ไข...
Remediation Photo,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ảnh chụp khắc phục,Remediation Photo,Remediation Photo
Checklist Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tiêu chí Checklist,評核項目,เกณฑ์การตรวจสอบ
Note:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú:,Note:,Note:
"Please click ""Start Inspection"" on the header to start the inspection and take the exam!","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","Vui lòng bấm ""Bắt đầu giám sát"" trên thanh công cụ để tiến hành giám sát và làm bài thi!","Please click ""Start Inspection"" on the header to start the inspection and take the exam!","Please click ""Start Inspection"" on the header to start the inspection and take the exam!"
Instructions:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hướng dẫn:,Instructions:,Instructions:
"Employees enter answers into the ""Answer"" box below each question. After completion, click ""Submit Exam"" to grade.","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","Nhân viên nhập câu trả lời vào ô ""Câu trả lời"" bên dưới mỗi câu hỏi. Sau khi hoàn tất, bấm ""Nộp bài thi"" để chấm điểm.","Employees enter answers into the ""Answer"" box below each question. After completion, click ""Submit Exam"" to grade.","Employees enter answers into the ""Answer"" box below each question. After completion, click ""Submit Exam"" to grade."
Submit Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nộp bài thi,Submit Exam,Submit Exam
Exam Submitted!,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đã nộp bài thi!,Exam Submitted!,Exam Submitted!
Answers have been locked. Scoring result:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Câu trả lời đã được khóa. Kết quả chấm điểm:,Answers have been locked. Scoring result:,Answers have been locked. Scoring result:
points,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",điểm,points,points
Question Code,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Mã tiêu chí,Question Code,Question Code
Question Content,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nội dung câu hỏi,Question Content,Question Content
Enter employee answer...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhập câu trả lời của nhân viên...,Enter employee answer...,Enter employee answer...
Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Điểm số,Score,Score
Staff Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Kỳ thi nhân viên,員工測驗,การทดสอบพนักงาน
"<strong class=""d-block"">Store Appearance & Key Remediation Issues</strong>
                                    <span class=""small text-muted"">Record poor store appearance and key issues that need to be resolved.</span>","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","<strong class=""d-block"">Diện mạo cửa hàng & Các vấn đề trọng điểm cần khắc phục</strong>
                                    <span class=""small text-muted"">Ghi nhận diện mạo chưa đạt và các vấn đề cốt lõi cần xử lý.</span>","<strong class=""d-block"">Store Appearance & Key Remediation Issues</strong>
                                    <span class=""small text-muted"">Record poor store appearance and key issues that need to be resolved.</span>","<strong class=""d-block"">Store Appearance & Key Remediation Issues</strong>
                                    <span class=""small text-muted"">Record poor store appearance and key issues that need to be resolved.</span>"
Previous Inspection Notes (Most Recent),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú đợt giám sát trước (Gần nhất),Previous Inspection Notes (Most Recent),Previous Inspection Notes (Most Recent)
No notes from previous inspection...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Không có ghi chú từ đợt giám sát trước...,No notes from previous inspection...,No notes from previous inspection...
Current Inspection Notes (To remediate),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú đợt giám sát này (Cần khắc phục),Current Inspection Notes (To remediate),Current Inspection Notes (To remediate)
Enter poor store appearance details and key issues to improve for this inspection...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhập chi tiết diện mạo chưa đạt và các vấn đề trọng điểm cần cải thiện trong đợt này...,Enter poor store appearance details and key issues to improve for this inspection...,Enter poor store appearance details and key issues to improve for this inspection...
Notes & Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú & Khắc phục,備註與改善,บันทึกและแก้ไข
3-Month Revenue Detail,"model_terms:ir.ui.view,arch_db:wujia_franchise.wujia_franchise_inspection_form_view",Chi tiết doanh thu 3 tháng,3個月營業額明細,รายละเอียดรายได้ 3 เดือน
Revenue Report,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Báo cáo doanh thu,營收報告,รายงานรายได้
Inspector Signature,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Chữ ký giám sát viên,督導人員簽名,ลายเซ็นผู้ตรวจ
System Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xác nhận hệ thống,System Confirmation,System Confirmation
Store Representative Signature,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Chữ ký đại diện cửa hàng,門店負責人簽名,ลายเซ็นตัวแทนร้านค้า
Store Manager Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xác nhận của Quản lý cửa hàng,Store Manager Confirmation,Store Manager Confirmation
Store Staff Present at Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhân viên cửa hàng có mặt khi giám sát,Store Staff Present at Inspection,Store Staff Present at Inspection
Present:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Có mặt:,Present:,Present:
Employee Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tên nhân viên,Employee Name,Employee Name
Phone,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Số điện thoại,電話,เบอร์โทร
Present,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Có mặt,Present,Present
Save or update this member to Store Membership,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Lưu hoặc cập nhật nhân viên này vào Danh sách thành viên cửa hàng,Save or update this member to Store Membership,Save or update this member to Store Membership
Deactivate this employee (active = False),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ngưng kích hoạt nhân viên này (active = False),Deactivate this employee (active = False),Deactivate this employee (active = False)
Are you sure you want to deactivate this employee (active = False)? The employee remains saved in the system history.,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bạn có chắc chắn muốn ngưng kích hoạt nhân viên này không? Thông tin nhân viên vẫn được lưu trong lịch sử hệ thống.,Are you sure you want to deactivate this employee (active = False)? The employee remains saved in the system history.,Are you sure you want to deactivate this employee (active = False)? The employee remains saved in the system history.
Note...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú...,Note...,Note...
Passed Exam Staff,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhân viên đạt bài thi,Passed Exam Staff,Passed Exam Staff
Passed Staff:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhân viên đạt:,Passed Staff:,Passed Staff:
Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xác nhận,Confirmation,Confirmation
Franchise Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Phiếu giám sát nhượng quyền,加盟門市督導表,แบบฟอร์มตรวจแฟรนไชส์
Grade Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_grade_form",Thông tin xếp loại,Grade Information,Grade Information
Score Range,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_grade_form",Khung điểm,Score Range,Score Range
Inspection Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_grade_form",Xếp loại giám sát,Inspection Grade,Inspection Grade
Inspection Grades,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_grade_list",Xếp hạng giám sát,評核等級,เกรดการประเมิน
Violation Evidence (Inspection),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_form",Minh chứng vi phạm (Giám sát),Violation Evidence (Inspection),Violation Evidence (Inspection)
Remediation Photo (Store),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_form",Ảnh chụp khắc phục (Cửa hàng),Remediation Photo (Store),Remediation Photo (Store)
Historical Criterion Details,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_form",Chi tiết tiêu chí kỳ trước,Historical Criterion Details,Historical Criterion Details
Inspection Template,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Mẫu phiếu giám sát,Inspection Template,Inspection Template
Template Criterion,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tiêu chí theo mẫu,Template Criterion,Template Criterion
Criterion Content,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Nội dung tiêu chí,Criterion Content,Criterion Content
Franchise Store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Cửa hàng nhượng quyền,Franchise Store,Franchise Store
Section Category,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Nhóm tiêu chí,Section Category,Section Category
Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Ngày giám sát,Inspection Date,Inspection Date
Passed Criteria (Pass),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tiêu chí đạt (Pass),Passed Criteria (Pass),Passed Criteria (Pass)
Result (Pass / Fail),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Kết quả (Đạt / Không đạt),Result (Pass / Fail),Result (Pass / Fail)
Search Violation Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tìm kiếm tiêu chí vi phạm,Search Violation Criteria,Search Violation Criteria
Violation Criteria Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_violation_graph",Phân tích tiêu chí vi phạm,違規項目分析,การวิเคราะห์เกณฑ์ละเมิด
Violation Criteria Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_violation_pivot",Phân tích tiêu chí vi phạm,違規項目分析,การวิเคราะห์เกณฑ์ละเมิด
Violation Note (Admin),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_violation_tree",Ghi chú vi phạm (Admin),Violation Note (Admin),Violation Note (Admin)
Remediation Note (Store),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_violation_tree",Ghi chú khắc phục (Cửa hàng),Remediation Note (Store),Remediation Note (Store)
Violation Criteria Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_violation_tree",Phân tích tiêu chí vi phạm,違規項目分析,การวิเคราะห์เกณฑ์ละเมิด
Total Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_list",Tổng điểm,總分,คะแนนรวม
Check-in GPS,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_list",Check-in GPS,GPS簽到,เช็คอิน GPS
View on Google Maps,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_list",Xem trên Google Maps,在Google地圖查看,ดูบน Google Maps
Franchise Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_list",Phiếu giám sát nhượng quyền,加盟門市督導表,แบบฟอร์มตรวจแฟรนไชส์
Save Question,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Lưu câu hỏi,Save Question,Save Question
Question Code,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Mã tiêu chí,Question Code,Question Code
CH-VD-01,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",CH-VD-01,CH-VD-01,CH-VD-01
General Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Thông tin chung,General Information,General Information
Question Content,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Nội dung câu hỏi,Question Content,Question Content
Enter question content (Use ____ to represent blank fill-in positions),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_question_form",Nhập nội dung câu hỏi (Dùng ____ để biểu thị vị trí ô trống cần điền),Enter question content (Use ____ to represent blank fill-in positions),Enter question content (Use ____ to represent blank fill-in positions)
