key,option,VN,CN,TH
Section Header,selection:wujia.franchise.inspection.line:display_type:section,Tiêu đề nhóm,分類標題,หัวข้อกลุ่ม
Checklist Content,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__content_snapshot",Nội dung kiểm tra checklist,檢查表項目內容,เนื้อหาแบบตรวจสอบ
Deduction Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__deduction_score_snapshot",Điểm trừ,扣分,คะแนนที่ถูกหัก
Criterion Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__criterion_type_snapshot",Loại tiêu chí,項目類別,ประเภทเกณฑ์
Passed (Pass),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__is_pass",Đánh giá Đạt (Pass),合格 (Pass),ผ่าน (Pass)
Violation Note (Admin),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__note",Ghi chú vi phạm (Admin),違規備註 (管理員),บันทึกการละเมิด (แอดมิน)
Remediation Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_state",Trạng thái khắc phục,改善狀態,สถานะการปรับปรุง
Remediation Note (Store),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_note",Ghi chú khắc phục (Cửa hàng),改善備註 (門市),บันทึกการปรับปรุง (สาขา)
Evidence Photo (Inspection),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__evidence_image",Hình ảnh bằng chứng (Khi khảo sát),現場照片 (評核時),ภาพถ่ายหลักฐาน (ตอนตรวจ)
Remediation Photo,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_image",Hình ảnh sau khắc phục,改善後照片,ภาพถ่ายหลังปรับปรุง
Require Note If Fail,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__require_note_if_fail",Yêu cầu ghi chú khi không đạt,不合格需備註,ต้องระบุบันทึกหากไม่ผ่าน
Require Evidence If Fail,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__require_evidence_if_fail",Yêu cầu bằng chứng khi không đạt,不合格需照片,ต้องมีหลักฐานหากไม่ผ่าน
Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__inspection_id",Phiếu khảo sát,評核表,แบบประเมิน
Inspection Criterion,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__template_line_id",Tiêu chí,評核項目,เกณฑ์การตรวจ
Inspection Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__inspection_date",Ngày kiểm tra,評核日期,วันที่ตรวจ
Pass Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__pass_count",Số lần Đạt,合格次數,จำนวนครั้งที่ผ่าน
Violation Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__violation_count",Số lần Vi phạm (Không đạt),違規次數,จำนวนครั้งที่ละเมิด
Inspection Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__inspection_count",Số lượt kiểm tra,評核總次數,จำนวนรอบการตรวจ
Section Category,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__section_header",Danh mục tiêu chí,項目分類,หมวดหมู่เกณฑ์
Previous Line,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_line_id",Line trước,上次記錄行,แถวก่อนหน้า
Days in Month,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__days_of_month",Số ngày trong tháng,當月天數,จำนวนวันในเดือน
Daily Average Revenue,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__revenue_avg",Doanh thu / ngày,日均營收,รายได้เฉลี่ยต่อวัน
Total App Orders,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__total_app_sale",Tổng giao dịch qua app,App 總訂單數,จำนวนคำสั่งซื้อผ่านแอปทั้งหมด
Question Text,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_text_snapshot",Nội dung câu hỏi,題目內容,เนื้อหาคำถาม
Correct Answer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__correct_answer_snapshot",Đáp án đúng,正確答案,คำตอบที่ถูกต้อง
Employee Answer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__employee_answer",Đáp án trả lời,員工回答,คำตอบของพนักงาน
Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__score",Điểm,得分,คะแนน
Locked,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__is_locked",Khóa,已鎖定,ล็อค
Question,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_id",Câu hỏi,測驗題目,คำถาม
The inspection must be 'In Progress' to submit the staff exam!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:0,Phiếu khảo sát phải ở trạng thái 'Đang thực hiện' mới được phép nộp bài kiểm tra!,評核表必須處於「進行中」狀態方可提交測驗！,แบบประเมินต้องอยู่ในสถานะ 'กำลังดำเนินการ' จึงจะสามารถส่งข้อสอบได้!
"Please select a date in ""Next Inspection Date"" before creating a schedule!",code:addons/wujia_franchise/models/wujia_franchise_inspection.py:0,"Vui lòng chọn ngày trong ""Lần kiểm tra kế tiếp"" trước khi tạo lịch!",建立日程前請先選擇「下次評核日期」！,"กรุณาเลือกวันที่ใน ""วันที่ตรวจครั้งถัดไป"" ก่อนสร้างตาราง!"
Category Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__name",Tên danh mục,類別名稱,ชื่อหมวดหมู่
Category Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__code",Mã danh mục,類別代碼,รหัสหมวดหมู่
Active,selection:wujia.franchise.inspection.template:status:active,Đang sử dụng,使用中,กำลังใช้งาน
Severe Violation,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_category__is_severe",Vi phạm nghiêm trọng,嚴重違規,การละเมิดร้ายแรง
Template Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__name",Tên mẫu khảo sát,評核範本名稱,ชื่อแบบฟอร์มการตรวจ
Template Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__code",Mã mẫu,範本代碼,รหัสแบบฟอร์ม
Version,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__version",Phiên bản,版本,เวอร์ชัน
Effective Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__effective_date",Ngày áp dụng,生效日期,มีผลบังคับใช้
Checklist Max Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__checklist_max_score",Điểm tối đa Checklist,檢查表最高分,คะแนนสูงสุดแบบตรวจสอบ
Exam Max Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__exam_max_score",Điểm tối đa Bài thi,測驗最高分,คะแนนสูงสุดแบบทดสอบ
Total Max Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__total_max_score",Tổng điểm tối đa,總最高分,คะแนนสูงสุดรวม
Inspection Criteria,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__line_ids",Chi tiết tiêu chí,評核項目明細,รายการเกณฑ์การตรวจ
Criterion Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__criterion_code",Mã tiêu chí,項目代碼,รหัสเกณฑ์
Category,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__category_id",Danh mục tiêu chí,項目類別,หมวดหมู่เกณฑ์
Category (Legacy),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__category",Danh mục (Text cũ),項目類別 (舊版文字),หมวดหมู่ (ข้อความเดิม)
Criterion Content,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__content",Nội dung tiêu chí,評核項目內容,เนื้อหาเกณฑ์
Normal,selection:wujia.franchise.inspection.template.line:criterion_type:normal,Bình thường,一般,ปกติ
Critical / Knockout,selection:wujia.franchise.inspection.template.line:criterion_type:critical,Quan trọng / Điểm liệt,重要 / 否決項,สำคัญ / จุดวิกฤต
Minimum Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_grade__min_score",Điểm tối thiểu,最低分,คะแนนต่ำสุด
Maximum Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_grade__max_score",Điểm tối đa,最高分,คะแนนสูงสุด
Area Manager,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__effective_area_manager_id",Người phụ trách khu vực,區域主管,ผู้จัดการเขต
Assigned Supervisor,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__effective_supervision_user_id",Người giám sát,督導人員,ผู้ตรวจสอบที่ได้รับมอบหมาย
Latest Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_inspection_id",Phiếu khảo sát mới nhất,最新評核表,แบบประเมินล่าสุด
Latest Inspection Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_inspection_score",Điểm đánh giá mới nhất,最新評核分數,คะแนนการประเมินล่าสุด
Latest Inspection Grade,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_inspection_grade_id",Loại đánh giá mới nhất,最新評核等級,เกรดการประเมินล่าสุด
Schedule Title,"model:ir.model.fields,field_description:wujia_supervision_schedule.field_wujia_supervision_schedule__name",Tiêu đề,督導日程標題,หัวข้อตารางตรวจ
Scheduled Date,"model:ir.model.fields,field_description:wujia_supervision_schedule.field_wujia_supervision_schedule__date",Thời gian giám sát,預定督導日期,วันที่กำหนดตรวจ
Owner,selection:wujia.franchise.member:role:owner,Chủ tiệm,店東,เจ้าของร้าน
Manager,selection:wujia.franchise.member:role:manager,Quản lý,店長,ผู้จัดการ
Staff,selection:wujia.franchise.member:role:staff,Nhân viên,門市人員,พนักงาน
Archived,selection:wujia.franchise.inspection.template:status:archived,Lưu trữ,已封存,ที่เก็บถาวร
Inspection Sheets,menu:wujia_franchise.menu_wujia_franchise_inspection,Phiếu giám sát,督導評核表,แบบประเมินการตรวจ
Supervision Schedules,menu:wujia_franchise.menu_wujia_supervision_schedule,Lịch giám sát,督導日程安排,ตารางตรวจ
Stores Needing Inspection,menu:wujia_franchise.menu_wujia_franchise_needed_inspection,Cửa hàng cần giám sát,待督導門市,สาขาที่ต้องตรวจ
Inspection Templates,menu:wujia_franchise.menu_wujia_franchise_inspection_template,Mẫu phiếu giám sát,評核範本設定,แบบฟอร์มการตรวจ
Inspection Categories,menu:wujia_franchise.menu_wujia_franchise_inspection_category,Danh mục tiêu chí,評核項目類別,หมวดหมู่เกณฑ์
Question Library,menu:wujia_franchise.menu_wujia_franchise_inspection_question,Thư viện câu hỏi kiểm tra,測驗題庫管理,คลังคำถามแบบทดสอบ
Inspection Grades,menu:wujia_franchise.menu_wujia_franchise_inspection_grade,Xếp hạng giám sát,評核等級設定,เกรดการประเมิน
Reporting,menu:wujia_franchise.menu_wujia_inspection_report,Báo cáo,統計報表,รายงาน
Inspection Results Analysis,menu:wujia_franchise.menu_wujia_franchise_inspection_report_dashboard,Phân tích kết quả giám sát,督導結果分析,การวิเคราะห์ผลการตรวจ
Provinces / Cities,menu:wujia_franchise.menu_res_country_state,Tỉnh / Thành phố,省份 / 城市,จังหวัด / เมือง
Wards / Communes,menu:wujia_franchise.menu_res_ward,Phường / Xã,坊 / 社 / 鄉鎮,แขวง / ตำบล
Franchise Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_tree",Phiếu giám sát,門市評核表,แบบประเมินสาขา
Franchise Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Phiếu giám sát,門市評核表,แบบประเมินสาขา
Mark Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hoàn thành,標記完成,เสร็จสิ้น
Reset to Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đặt về Draft,重設為草稿,ตั้งเป็นแบบร่าง
Create Next Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tạo lịch tiếp theo,建立下次日程,สร้างตารางถัดไป
Open Inspection Survey Web,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Mở trang Khảo sát Web,開啟線上評核頁面,เปิดหน้าเว็บตรวจประเมิน
Revenue Report,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Báo cáo doanh thu,營收報告,รายงานรายได้
Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xác nhận,確認簽署,การยืนยัน
Scoring Summary,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tổng kết điểm số,評分摘要,สรุปคะแนน
Next Supervision Cycle,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Kỳ giám sát tiếp theo,下次督導週期,รอบการตรวจถัดไป
System Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Người xác nhận hệ thống,系統確認人,การยืนยันระบบ
Store Manager Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Quản lý cửa hàng xác nhận,門市店長確認,การยืนยันของผู้จัดการ
3-Month Revenue Detail,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Báo cáo chi tiết doanh thu 3 tháng,近3個月營收明細,รายละเอียดรายได้ 3 เดือน
Inspection Criteria List,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Danh sách tiêu chí đánh giá,評核項目清單,รายการเกณฑ์การตรวจ
Search Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Tìm kiếm Phiếu giám sát,搜尋評核表,ค้นหาแบบประเมิน
My Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Phiếu của tôi,我的評核表,แบบประเมินของฉัน
Franchise Stores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_tree",Cửa hàng nhượng quyền,加盟門市清單,สาขาแฟรนไชส์
Contract & Operations,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Hợp đồng & Vận hành,合約與營運,สัญญาและการดำเนินงาน
Legal & Partner Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Thông tin pháp lý & Liên kết,法律與合作夥伴資訊,ข้อมูลทางกฎหมายและพาร์ทเนอร์
Address & Area,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Địa chỉ & Khu vực,地址與營運區域,ที่อยู่และพื้นที่
Franchise Contract,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Hợp đồng nhượng quyền,加盟合約,สัญญาแฟรนไชส์
Operational Controls,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Điều khiển vận hành,營運控制,การควบคุมการดำเนินงาน
Assigned Personnel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Nhân sự phụ trách,負責人員,บุคลากรที่รับผิดชอบ
Search Franchise Stores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_search",Tìm kiếm Cửa hàng,搜尋加盟門市,ค้นหาสาขาแฟรนไชส์
Store Location & Contact,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Địa điểm & Liên hệ cửa hàng,門市位置與聯絡方式,ที่ตั้งและการติดต่อสาขา
Latest Inspection Result,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Kết quả khảo sát mới nhất,最新評核結果,ผลการประเมินล่าสุด
View Inspection Sheet,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Xem phiếu khảo sát,檢視評核表,ดูแบบประเมิน
Create Inspection Sheet,"model_terms:ir.ui.view,arch_db:wujia_supervision_schedule_form",Tạo phiếu khảo sát,建立評核表,สร้างแบบประเมิน
Search Supervision Schedules,"model_terms:ir.ui.view,arch_db:wujia_supervision_schedule_search",Tìm kiếm Lịch giám sát,搜尋督導日程,ค้นหาตารางตรวจ
Violation Criteria Details,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_tree",Chi tiết tiêu chí vi phạm,違規項目明細,รายละเอียดเกณฑ์การละเมิด
Search Violation Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tìm kiếm Tiêu chí vi phạm,搜尋違規項目,ค้นหาเกณฑ์การละเมิด
Passed Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tiêu chí Đạt,合格項目,เกณฑ์ที่ผ่าน
Violated Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tiêu chí Vi phạm (Không đạt),違規項目 (不合格),เกณฑ์ที่ละเมิด (ไม่ผ่าน)
Supervision Calendar,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_calendar",Lịch giám sát,督導行事曆,ปฏิทินการตรวจ
Store & Inspector Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Thông tin cửa hàng & nhân viên giám sát,門市與督導人員資訊,ข้อมูลสาขาและผู้ตรวจสอบ
Address & Contact,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Địa chỉ & Liên hệ,地址與聯絡方式,ที่อยู่และการติดต่อ
Schedule Date & Latest Inspection Result,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Thời gian giám sát & Kết quả khảo sát mới nhất,預定督導時間與最新評核結果,วันที่กำหนดตรวจและผลการประเมินล่าสุด
My Schedules,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_search",Lịch của tôi,我的督導日程,ตารางของฉัน
My Assigned Stores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Cửa hàng tôi phụ trách,我負責的門市,สาขาที่ฉันรับผิดชอบ
Expired,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Hết hạn,已過期,หมดอายุ
Portal Locked,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Khóa portal,鎖定入口網站,ล็อกพอร์ทัล
Area & Address,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Khu vực & Địa chỉ,區域與地址,พื้นที่และที่อยู่
Template Criterion,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_search",Tiêu chí mẫu,範本評核項目,เกณฑ์แบบฟอร์ม
Historical Criterion Details,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_form",Chi tiết tiêu chí đợt trước,歷史評核項目明細,รายละเอียดเกณฑ์ในอดีต
Violation Evidence (Inspection),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_form",Bằng chứng vi phạm khi khảo sát,現場違規證明 (評核時),หลักฐานการไม่ผ่าน (ตอนตรวจ)
Remediation Photo (Store),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_line_form",Ảnh sau khi đã khắc phục,改善後照片 (門市),ภาพถ่ายหลังปรับปรุง (สาขา)
Grade Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_grade_form",Thông tin xếp hạng,評級資訊,ข้อมูลเกรด
Score Range,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_grade_form",Khoảng điểm,分數範圍,ช่วงคะแนน
Inspection Staff Attendance / Passed Line,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_attendance_line",Dòng điểm danh / nhân viên thi đậu khảo sát,督導員工出勤 / 通過考試記錄,รายการการเข้างานของพนักงาน / ผู้ผ่านการทดสอบ
Passed Exam,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_member__is_pass",Đã thi đậu,通過考試,ผ่านการทดสอบ
Passed Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đã thi đậu,通過考試,ผ่านการทดสอบ
Staff Attendance,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__attendance_line_ids",Điểm danh nhân viên,員工出勤簽到,การเข้างานของพนักงาน
Passed Staff,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__passed_line_ids",Nhân viên thi đậu,已通過考核員工,พนักงานที่ผ่านการทดสอบ
Present Staff,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__present_count",Số nhân viên có mặt,在場人數,พนักงานที่มาปฏิบัติงาน
Passed Staff Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__passed_count",Số nhân viên thi đậu,通過考核人數,จำนวนพนักงานที่ผ่านการทดสอบ
Line Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__line_type",Loại dòng,行類型,ประเภทรายการ
Attendance,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_attendance_line__line_type__attendance",Có mặt,出勤,มาปฏิบัติงาน
Passed Exam,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_attendance_line__line_type__passed",Thi đậu,通過考試,ผ่านการทดสอบ
Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__inspection_id",Phiếu khảo sát,督導評分表,ใบตรวจประเมิน
Store Member,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__member_id",Thành viên cửa hàng,門市成員,สมาชิกสาขา
Employee Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__employee_name",Tên nhân viên,員工姓名,ชื่อพนักงาน
Role,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__role",Vai trò,職位,ตำแหน่ง
Phone,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__phone",SĐT,電話號碼,เบอร์โทรศัพท์
Present,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__is_present",Có mặt,在場,มาปฏิบัติงาน
Passed Exam,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__is_pass",Đã thi đậu,通過考試,ผ่านการทดสอบ
Note,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_attendance_line__note",Ghi chú,備註,หมายเหตุ
Store Staff Present at Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhân viên có mặt tại cửa hàng,督導現場門市出勤員工,พนักงานสาขาที่มาปฏิบัติงานขณะตรวจ
Present:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Có mặt:,在場：,มาปฏิบัติงาน:
Save New Employee,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Lưu nhân viên mới,保存新員工,บันทึกพนักงานใหม่
Create store member record for new attendance lines,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tạo thông tin thành viên cửa hàng cho dòng điểm danh mới,為新增出勤記錄建立門市成員資料,สร้างข้อมูลสมาชิกสาขาสำหรับรายการเข้างานใหม่
Phone number,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",SĐT,電話號碼,หมายเลขโทรศัพท์
Present,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Có mặt,在場,มาปฏิบัติงาน
Deactivate this employee,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tắt hoạt động nhân viên này,停用此員工,ปิดการใช้งานพนักงานนี้
Are you sure you want to deactivate this employee? The line will be removed.,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bạn có chắc chắn muốn tắt hoạt động nhân viên này không? Dòng này sẽ được xóa khỏi danh sách.,您確定要停用該員工嗎？該行記錄將被移除。,คุณแน่ใจหรือไม่ว่าต้องการปิดการใช้งานพนักงานนี้? รายการนี้จะถูกลบออก
Note / Reason if absent...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú / Lý do nếu vắng mặt...,備註 / 缺勤原因...,หมายเหตุ / เหตุผลหากไม่มาปฏิบัติงาน...
Passed Exam Staff,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhân viên đã thi đậu,已通過考核員工,รายชื่อพนักงานที่ผ่านการทดสอบ
Phone,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",SĐT,電話,เบอร์โทรศัพท์
Note,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú,備註,หมายเหตุ
Passed Staff:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nhân viên thi đậu:,通過考核：,ผ่านการทดสอบ:
Store Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",THÔNG TIN CỬA HÀNG,門市資訊,ข้อมูลสาขา
Timeline & History,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",TIẾN TRÌNH & LỊCH SỬ,進度與歷史,ไทม์ไลน์และประวัติ
Timeline &amp; History,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",TIẾN TRÌNH & LỊCH SỬ,進度與歷史,ไทม์ไลน์และประวัติ
Tested Employee Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",THÔNG TIN NHÂN VIÊN ĐƯỢC KIỂM TRA,受測員工資訊,ข้อมูลพนักงานที่รับการทดสอบ
Next Inspection Plan,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",KẾ HOẠCH KHẢO SÁT KẾ TIẾP,下次評核計劃,แผนการตรวจครั้งถัดไป
Component Scores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",ĐIỂM THÀNH PHẦN,分項分數,คะแนนองค์ประกอบ
Evaluation Result & Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",KẾT QUẢ ĐÁNH GIÁ & XẾP LOẠI,評核結果與等級,ผลการประเมินและเกรด
Evaluation Result &amp; Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",KẾT QUẢ ĐÁNH GIÁ & XẾP LOẠI,評核結果與等級,ผลการประเมินและเกรด
